Source,Target,Weight
Nguyen HH,Tanzer MC,1
Gross A,Tanzer MC,1
Feldmeyer L,Tanzer MC,1
Joerg L,Tanzer MC,1
Levesque MP,Tanzer MC,1
Murray PJ,Tanzer MC,1
Ingen-Housz-Oro S,Tanzer MC,1
Mund A,Tanzer MC,1
Abe R,Tanzer MC,1
Silke J,Tanzer MC,1
Ji C,Tanzer MC,2
French LE,Tanzer MC,1
Mann M,Tanzer MC,1
Gong T,Saito Y,1
Saito Y,Thielert M,1
Kimura H,Saito Y,1
Saito Y,Silke N,1
Rodriguez EH,Saito Y,1
Restivo G,Saito Y,1
Nguyen HH,Saito Y,1
Gross A,Saito Y,1
Feldmeyer L,Saito Y,1
Joerg L,Saito Y,1
Levesque MP,Saito Y,1
Murray PJ,Saito Y,1
Ingen-Housz-Oro S,Saito Y,1
